timestamp,stPwrLine,cuHvBatChrgSet,stScktAPlug,stScktALck,uHcChrgr,tClnt,uScktAProx,wRail1,wRail2,wRail3,curHvDcObc,tDcDcSens1,tDcDcSens2,tDcDcSens3,uHvDcSens1,uHvDcSens2,uHvDcSens3,rPwmStrgWhl,uExt2,unknown6,unknown5,curSeatFrntRight,unknown4,unknown3,curSeatFrntLeft,uExt,curFan,tCab,tAmbCalc,tAmb,rFanDes,tqCmpr,nCmpr,tiRngDynStat2,tiRngDynStat1,pwrRngDyn2,pwrRngDyn1,consRngComp,unknown2,consRngCab,unknown1,curAirHeater,stUHvHeat,stUHv,stHvHeat,uAirHeater,tiYear,tiMonth,tiDay,tiHour,tiMin,tiSec,sMileage,sVehLife,sVehTrip,rApp,vVeh1,uHv,aVeh,tDcDcCalc,nEm1,rSocBat,vVeh5,vVeh4,sVeh,tqEm3,tqEm2,tqEm1,stHvCord,pwrHvAux,stLvDcChrg,curHvAux,pwrHvAuxMax,tqRearAxleDes,tqDiffDes,stFrntAxle,stRearAxle,tqRearAxleLim,tqRearAxle,pwrClntPmpHvBat,uChrgMax,uDchrgMin,tHvBat,cur2HvBat,curHvBat1,uSumCell,uHvBat,uPosHvBatChrgCtctr,uPosHvBatCtctr,uPosHvBat,numUCellMin1,uCellMin1,numUCellMax1,uCellMax1,cbHvBatChrg,cbHvBatDchrg,wHvBatChrg,wHvBatDchrg,numChrgMin1,chrgMin1,numChrgMax1,chrgMax1,curLimDynDchrg,curChrgLimDyn,numTMinHvBat,tMinHvBat,numTMaxHvBat,tMaxHvBat,stPwrRed2,tClntHvBatIn,tClntHvBatOut,uHvBatCtctr,curPtcHvBat,stTerm15,rSocBat2,vVeh3,tqEmMechSet,tClntEdcIn,tEmStator,tIgbtU,tIgbtV,tIgbtW,uIgbtSply,nEm2,nEmTrac,tAmbCan,curPhaseW,curPhaseV,curPhaseU,tqEmMin,tqEmMax,tqEmMechCalc,curDcLinkMin,curDcLinkMax,curDcLink,uDcLink,tEmRotor,vVeh2,numInvCurCnt2,pwrInvLossW,pwrInvLossV,pwrInvLossU,numInvCurCnt1,stInvDchrgReq,stInvDchrg,mfClnt,uEmStatQDes,uEmStatDDes,uEmStatQ,uEmStatD,curInvQDes,curInvDDes,curInvQ,curInvD,sVeh1,stPwrRed1,tqEmCalc
1788358154.862360,0,0,17923,17923,429,65,4656,590,727,590,0,24,24,24,427,431,97,0,5,255,255,0,255,255,0,5,0,25,22,23,0,0,0,0,3,0,0,0,0,4759,1,0,0,0,0,15,1782899278,1782899278,1782899278,1782899278,1782899278,1782899278,7055,7055,330,14,0,432,0,24,0,82,0,0,7055,0,0,0,0,0,2,0,1,0,0,15,8,5100,0,4,459,270,22,-1,0,433,432,0,432,432,67,4,15,4,4862,7804364,2044,498092,66,81,14,82,3568,211,5,22,1,22,0,22,23,432,0,1,82,0,0.000000,25.779491,24.500000,-1231855488.000000,-2400124928.000000,-224514656.000000,14,0.015432,0.000376,-0.000031,-0.074785,-0.258795,0.121319,-0.054975,-0.039891,-0.064227,-202.000000,702.000000,0.000000,434.157959,25.130316,0,0.000000,0.372703,0.916364,0.584387,0.000000,0,0,0.000000,-0.000889,-0.000000,0.000180,-0.000002,-0.000007,-0.000002,-0.127463,-0.140317,7055,0,-0.034210
1788358156.312431,0,0,17923,17923,429,65,4656,590,727,590,0,24,24,24,427,431,97,0,5,255,255,0,255,255,0,5,0,25,22,23,0,0,0,0,3,0,0,0,0,4759,1,0,0,0,0,15,1782899279,1782899279,1782899279,1782899279,1782899279,1782899279,7055,7055,330,14,0,432,0,24,0,82,0,0,7055,0,0,0,0,0,2,0,1,0,0,15,8,5100,0,4,459,270,22,-1,0,433,432,0,432,432,67,4,15,4,4862,7804364,2044,498092,66,81,14,82,3568,211,5,22,1,22,0,22,23,432,0,1,82,0,0.000000,25.779409,24.490641,-1999869056.000000,-2400124928.000000,-94742528.000000,14,0.005843,-0.001031,-0.000031,0.204967,-0.165507,-0.467952,-0.016451,-0.039154,-0.044638,-202.000000,702.000000,0.000000,434.159576,25.130222,0,0.000000,0.193884,0.231480,0.192609,0.000000,0,0,0.000000,0.000123,-0.000000,-0.000264,0.000001,0.000000,-0.000001,-0.282313,0.056419,7055,0,-0.038468
1788358157.762495,0,0,17923,17923,429,65,4656,590,727,590,0,24,24,24,427,431,97,0,5,255,255,0,255,255,0,5,0,25,22,23,0,0,0,0,3,0,0,0,0,4759,1,0,0,0,0,15,1782899281,1782899281,1782899281,1782899281,1782899281,1782899281,7055,7055,330,14,0,432,0,24,0,82,0,0,7055,0,0,0,0,0,2,0,1,0,0,15,8,5100,0,4,459,270,22,-1,0,433,432,0,432,432,67,4,11,4,4862,7804364,2044,498092,66,81,14,82,3568,211,5,22,1,22,0,22,23,432,0,1,82,0,0.000000,25.779442,24.473646,-1231884032.000000,-2400124928.000000,-136031520.000000,14,0.000125,0.003094,-0.000031,-0.075235,0.123791,0.306605,-0.038967,-0.058972,-0.042099,-202.000000,702.000000,0.000000,434.150299,25.130167,0,0.000000,0.127266,0.231982,0.110511,0.000000,0,0,0.000000,0.000700,-0.000000,-0.000141,-0.000002,0.000005,-0.000001,-0.297041,-0.678416,7055,0,-0.067658
1788358159.212536,0,0,17923,17923,429,65,4661,590,727,590,0,24,24,24,427,431,97,0,5,255,255,0,255,255,0,5,0,25,22,23,0,0,0,0,3,0,0,0,0,4759,1,0,0,0,0,15,1782899282,1782899282,1782899282,1782899282,1782899282,1782899282,7055,7055,330,15,0,432,0,24,0,82,0,0,7055,0,0,0,0,0,2,0,1,0,0,15,8,5100,0,4,459,270,22,-1,0,433,432,0,432,432,67,4,6,4,4862,7804364,2044,498092,66,81,14,82,3568,211,5,22,1,22,0,22,22,432,0,1,82,0,0.000000,25.779438,24.490704,-1859243776.000000,-2013376512.000000,-209516976.000000,14,-0.033203,0.000901,-0.000031,0.206110,-0.259765,0.214210,-0.019372,-0.022196,-0.066730,-202.000000,702.000000,0.000000,434.159821,25.130104,0,0.000000,0.042530,0.269581,0.086740,0.000000,0,0,0.000000,0.000406,-0.000000,0.000542,-0.000002,-0.000002,-0.000001,0.011386,0.109656,7055,0,-0.031181
1788358160.672642,0,0,17923,17923,429,65,4656,590,727,590,0,24,24,24,427,431,97,0,5,255,255,0,255,255,0,5,0,25,22,23,0,0,0,0,3,0,0,0,0,4759,1,0,0,0,0,15,1782899284,1782899284,1782899284,1782899284,1782899284,1782899284,7055,7055,330,14,0,432,0,24,0,82,0,0,7055,0,0,0,0,0,2,0,1,0,0,15,8,5100,0,4,459,270,22,-1,0,433,432,0,432,432,67,4,9,4,4862,7804364,2044,498092,66,81,14,82,3568,211,5,22,1,22,0,22,22,432,0,1,82,0,0.000000,25.779432,24.464285,-410203264.000000,-831619072.000000,-26043254.000000,14,-0.015567,-0.000220,-0.000031,-0.074372,-0.259166,-0.080674,-0.027328,-0.032030,-0.041191,-202.000000,702.000000,0.000000,434.148041,25.129957,0,0.000000,0.137809,0.536334,0.372900,0.000000,0,0,0.000000,-0.000950,-0.000000,-0.001455,0.000002,-0.000001,-0.000000,0.003285,-0.220943,7055,0,-0.014559
1788358162.122776,0,0,16899,16899,429,65,4656,590,727,590,0,24,24,24,427,431,97,0,5,255,255,0,255,255,0,5,0,25,22,23,0,0,0,0,3,0,0,0,0,4759,1,0,0,0,0,15,1782899285,1782899285,1782899285,1782899285,1782899285,1782899285,7055,7055,330,14,0,432,0,24,0,82,0,0,7055,0,0,0,0,0,2,0,1,0,0,15,8,5100,0,4,459,270,22,-1,0,433,432,0,432,432,67,4,15,4,4862,7804364,2044,498092,66,81,14,82,3568,211,5,22,1,22,0,22,22,432,0,1,82,0,0.000000,25.779377,24.464285,-831619072.000000,-831619072.000000,-30847292.000000,14,-0.003379,0.002693,-0.000031,0.206135,-0.259580,0.214807,-0.058945,-0.055481,-0.018347,-202.000000,702.000000,0.000000,434.160339,25.129805,0,0.000000,0.137163,0.241491,0.389596,0.000000,0,0,0.000000,0.000530,-0.000000,-0.000360,-0.000001,0.000007,-0.000001,0.003848,-0.406928,7055,0,-0.070112
1788358163.582695,0,0,17923,17923,429,65,4656,590,727,590,0,24,24,24,427,431,97,0,5,255,255,0,255,255,0,5,0,25,22,23,0,0,0,0,3,0,0,0,0,4759,1,0,0,0,0,15,1782899286,1782899286,1782899286,1782899286,1782899286,1782899286,7055,7055,330,14,0,432,0,24,0,82,0,0,7055,0,0,0,0,0,2,1,1,0,0,15,8,5100,0,4,459,270,22,-1,0,433,432,0,432,432,67,4,15,4,4862,7804364,2044,498092,66,81,14,82,3568,211,5,22,1,22,0,22,22,432,0,1,82,0,0.000000,25.779425,24.464285,-831619072.000000,-1218355584.000000,-94742528.000000,14,-0.028555,-0.001636,-0.000031,-0.075850,-0.257828,-0.265482,-0.061419,-0.023132,-0.057392,-202.000000,702.000000,0.000000,434.156433,25.129688,0,0.000000,0.289687,0.326767,0.544216,0.000000,0,0,0.000000,-0.000602,-0.000000,-0.000391,-0.000004,0.000004,-0.000002,-0.269072,-0.461508,7055,0,-0.082333
1788358165.042764,0,0,17923,17923,429,65,4656,590,727,590,0,24,24,24,427,431,97,0,5,255,255,0,255,255,0,5,0,25,22,23,0,0,0,0,3,0,0,0,0,4759,1,0,0,0,0,15,1782899288,1782899288,1782899288,1782899288,1782899288,1782899288,7055,7055,330,15,0,432,0,24,0,82,0,0,7055,0,0,0,0,0,2,1,1,0,0,15,8,5100,0,4,459,270,22,-1,0,433,432,0,432,432,67,4,15,4,4862,7804364,2044,498092,66,81,14,82,3568,211,5,22,1,22,0,22,22,432,0,1,82,0,0.000000,25.805935,24.454861,-831619072.000000,-2400124928.000000,-94742528.000000,14,-0.046561,0.002502,-0.000031,0.304403,-0.257953,-0.466718,-0.027244,-0.053749,-0.035349,-202.000000,702.000000,0.000000,434.140869,25.129589,0,0.000000,0.148094,0.374257,0.544194,0.000000,0,0,0.000000,-0.000200,-0.000000,0.000893,-0.000004,0.000004,-0.000001,-0.387829,0.307819,7055,0,-0.000812
1788358166.482807,0,0,17923,17923,429,65,4656,590,727,590,0,24,24,24,427,431,97,0,5,255,255,0,255,255,0,5,0,25,22,23,0,0,0,0,3,0,0,0,0,4759,1,0,0,0,0,15,1782899289,1782899289,1782899289,1782899289,1782899289,1782899289,7055,7055,330,16,0,432,0,24,0,82,0,0,7055,0,0,0,0,0,2,1,1,0,0,15,8,5100,0,4,459,270,22,-1,-1,433,432,0,432,432,67,4,15,4,4862,7804364,2044,498092,66,81,14,82,3568,211,5,22,1,22,0,22,22,432,0,1,82,0,0.163536,25.876427,24.447290,-2467518976.000000,-3602373632.000000,-136034080.000000,14,2.851482,0.317063,-0.000031,0.798075,-1.028508,0.307670,-57.728405,55.531399,0.087674,-202.000000,702.000000,0.006562,434.106323,25.129490,0,0.000000,0.569158,2.181999,2.706944,0.000000,0,0,0.000000,-0.073854,0.012583,-0.008395,0.004623,0.663098,-0.167635,0.418742,-0.320347,7055,0,0.003057
1788358167.932873,0,0,17923,17923,428,65,4656,590,727,590,0,24,24,24,427,430,97,0,5,255,255,0,255,255,0,5,0,25,22,23,0,0,0,0,3,0,0,0,0,4759,1,0,0,0,0,15,1782899291,1782899291,1782899291,1782899291,1782899291,1782899291,7055,7055,330,19,0,432,0,24,12,82,0,0,7055,0,0,0,0,0,2,1,1,12,0,15,1,5100,11,4,459,270,22,-1,-1,433,432,0,432,432,67,4,15,4,4862,7804364,2044,498092,66,81,14,82,3568,211,5,22,1,22,0,22,23,432,0,1,82,0,9.972960,25.923885,24.500000,-98591058165760.000000,-10796443631616.000000,-406122004480.000000,14,24.759720,2.673368,-0.000031,20.181749,-26.786898,16.929617,-310.000000,310.000000,6.619036,-202.000000,702.000000,0.337020,433.983185,25.129501,0,0.000000,9.283381,27.467913,43.018589,0.000000,0,0,0.000000,-0.819503,0.108622,-0.011256,-0.018840,20.264097,-6.632880,17.937283,-5.620993,7055,0,3.737121
